,Made from,Country of origin,Region,Type,Family,Fat content,Texture,Rind,Colour,Flavour,Aroma,Vegetarian,Producers
Alpine Gold,pasteurized cow's milk,Canada,British Columbia,"semi-soft, brined",,,supple,washed,cream,"floral, grassy, savory","earthy, floral, rich", no ,The Farm House Natural Cheeses
Alpine-Style,unpasteurized cow's milk,United States,Maine,"semi-hard, artisan",Swiss Cheese,,"creamy, crumbly, open and smooth",natural,yellow,"buttery, smooth",rich,,
Alps Rebel,unpasteurized cow's milk,Austria,Sulzberg,"semi-hard, artisan",,48%,creamy and open,natural,yellow,"buttery, citrusy, milky, piquant","fruity, lactic, milky, nutty",,Sulzberger Käserebellen Sennerei GmbH
Alta Badia,pasteurized cow's milk,Italy,,semi-soft,,33.5  g/100g,firm,,,"milky, sharp, tangy",, no ,Mila LATTE MONTAGNA ALTO ADIGE
Alverca,pasteurized goat's and sheep's milk,Portugal,,semi-hard,,40-50%,,,,,, no ,
Amablu Blue cheese,unpasteurized cow's milk,United States,,"semi-soft, artisan, blue-veined",Blue,,crumbly,,,tangy,, no ,Caves of Faribault
Amalthee,goat's milk,France,Charentes-Poitou,"soft, soft-ripened",,,,bloomy,,"grassy, mild, sweet","goaty, grassy, mild, sweet", no ,
Amarelo de Beira Baixa,unpasteurized goat's and sheep's milk,Portugal,Beira Baixa Province,"semi-firm, artisan",,45-60%,firm,,yellow,"bitter, buttery, earthy, grassy, spicy, tangy","aromatic, buttery", no ,
Ambert,pasteurized or unpasteurized cow's milk,France,"Auvergne, Rhône-Alpes","semi-hard, artisan, blue-veined",Blue,50%,"creamy, dense and supple",natural,blue,"savory, sharp, smooth, tangy","fruity, strong, woody", no ,
Ameribella,cow's milk,United States,Indiana,"semi-soft, artisan",,,"creamy, runny, smooth and spreadable",washed,straw,"mushroomy, salty, savory, sweet","earthy, grassy, lactic",,Jacobs & Brichford Farmstead Cheese
American Cheese,pasteurized cow's milk,United States,,"semi-soft, processed",,,smooth,rindless,yellow,,mild, no ,
Ami du Chambertin,pasteurized or unpasteurized cow's milk,France,"Gevrey-Chambertin, Burgundy","semi-soft, artisan, brined",,45%,smooth,washed,white,"buttery, sharp",, no ,
Amish Frolic,unpasteurized cow's milk,United States,"Milford, NJ","hard, artisan",,,flaky and open,natural,pale yellow,"grassy, nutty, sweet",grassy, no ,Bobolink Dairy
Amou,unpasteurized sheep's milk,France,"Amou, Gascony",firm,,45%,,,golden yellow,,, no ,
Amsterdammer (British Columbia),,Canada,"Comox Valley, Vancouver Island","semi-soft, firm",,30%,buttery and creamy,natural,pale yellow,"buttery, creamy","aromatic, buttery", no ,Natural Pastures Cheese Company
Amul Cheese Spread,pasteurized cow's milk,India,Gujarat,"soft, processed",,18-20%,creamy and spreadable,,pale yellow,"creamy, salty, savory, spicy",,yes ,Gujarat Cooperative Milk Marketing Federation (Amul)
Amul Emmental,pasteurized cow's milk,India,Gujarat,semi-hard,Swiss Cheese,46%,firm and open,artificial,yellow,sweet,nutty,yes ,Gujarat Cooperative Milk Marketing Federation (Amul)
Amul Gouda,pasteurized cow's milk,India,Gujarat,semi-hard,Gouda,46%,"compact, dense, firm and springy",plastic,yellow,"fruity, sweet",mild,yes ,Gujarat Cooperative Milk Marketing Federation (Amul)
Amul Pizza Mozzarella Cheese,pasteurized cow's milk,India,Gujarat,"semi-soft, processed",Mozzarella,30-40%,elastic and stringy,artificial,yellow,salty,pleasant,yes ,Gujarat Cooperative Milk Marketing Federation (Amul)
Amul Processed Cheese,pasteurized cow's or water buffalo's milk,India,Gujarat,"hard, processed",Cheddar,26%,crumbly and dense,artificial,yellow,"buttery, creamy, salty",,yes ,Gujarat Cooperative Milk Marketing Federation (Amul)
Anari,goat's or sheep's milk,Cyprus,island wide,"fresh soft, hard, artisan",Cottage,8%,"brittle, creamy and flaky",natural,white,"creamy, mild, salty",,,
Anejo Enchilado,pasteurized cow's or goat's milk,Mexico,,semi-hard,,,crumbly and firm,,white,"salty, sharp, spicy, strong",strong, no ,Cacique Inc.
Anneau du Vic-Bilh,unpasteurized goat's milk,France,Pyrenees-Atlantiques ,"soft, artisan",Cottage,45%,creamy and smooth,,white,"acidic, nutty, salty, smokey ","earthy, nutty, smokey", no ,
Anniversary Ale Cheddar,pasteurized cow's milk,United States,Northwest,"semi-hard, artisan",Cheddar,,dense and firm,,,"creamy, mild, sweet","floral, fruity",yes ,Rogue Creamery
Anster,unpasteurized cow's milk,Scotland,Fife,"semi-hard, artisan",,,crumbly and dry,,ivory,milky,"milky, rich",,St Andrews Farmhouse Cheese Company
Anthotyro,goat's or sheep's milk,Greece,"Macedonia, Thrace, Thessalia, Peloponissos, Ionian Islands, Aegean islands, Crete Island and Epirus","hard, whey",,30%,crumbly,natural,white,"salty, tangy",strong,,
Anthotyro Fresco,unpasteurized goat's and sheep's milk,Greece,"Macedonia, Thrace, Thessalia, Peloponissos, Ionian Islands, Aegean islands, Crete Island and Epirus","semi-soft, whey",,20%,creamy and smooth,rindless,white,sweet,,,
Aphrodite Haloumi ,pasteurized goat's and sheep's milk,Cyprus,"Nicosia, Cyprus","semi-soft, artisan, brined",Pasta filata,,"chewy, creamy, elastic and firm",rindless,white,"lemony, salty, tangy",strong,,Cheese Slices
Appalachian,unpasteurized cow's milk,United States,Virginia,"semi-soft, artisan",Tomme,,firm,mold ripened ,white,"buttery, lemony, mushroomy","earthy, grassy, lactic",,Meadow Creek Dairy 
Appenzeller,cow's milk,Switzerland,Appenzell ,"hard, artisan, smear-ripened",,,"firm, open and smooth",washed,straw,"fruity, spicy, tangy",mild, no ,
Appleby's Double Gloucester,unpasteurized cow's milk,"England, Great Britain and United Kingdom",Gloucestershire,"hard, artisan",,54.23 g/100g,"crumbly, dense, firm, flaky and smooth",natural,golden yellow,"mellow, milky, nutty, subtle, tangy","subtle, sweet",yes ,Appleby's
Apple Walnut Smoked,pasteurized cow's milk,United States,Utah,"hard, artisan",Cheddar,,creamy and smooth,,yellow,"nutty, smokey , sweet","nutty, smokey, sweet",yes ,Beehive Cheese Company
Applewood,pasteurized cow's milk,"England, Great Britain and United Kingdom",Somerset,semi-hard,Cheddar,,crumbly and dense,natural,yellow,"smokey , spicy",smokey,yes ,Ilchester Cheese Company
Applewood Smoked Chevre,pasteurized goat's milk,United States,Colorado,"semi-soft, artisan",,,"creamy, crumbly and firm",rindless,white,subtle,woody,yes ,Haystack Mountain Goat Dairy
Aradalen,unpasteurized cow's milk,Sweden,Oviken ,"soft, artisan, blue-veined",Blue,34%,creamy,mold ripened ,ivory,sweet,,,Oviken cheese
Aragon,"pasteurized or unpasteurized cow's, goat's and sheep's milk",Spain,Aragon,,,,,,,,,,GRUPO LA PARDINA
Ardi Gasna,whole sheep's milk,France,Midi-Pyrénées,"hard, artisan",,45%,firm and supple,washed,pale yellow,"mild, nutty, sharp",fresh, no ,
Ardrahan,pasteurized cow's milk,Ireland,Duhallow,"semi-soft, brined",,25%,chalky and smooth,washed,yellow,"acidic, buttery, nutty","earthy, pungent",yes ,Ardrahan Dairy Products Ltd.
Ardsallagh Hard Goat's Cheese,pasteurized goat's milk,Ireland,Carrigtwohill,"semi-hard, artisan",,,firm and smooth,natural,white,"nutty, salty, smooth",,yes ,Ardsallagh Goats Farm
Ardsallagh Smoked Cheese,pasteurized goat's milk,Ireland,Carrigtwohill,"semi-hard, artisan",,,firm and smooth,natural,white,"mild, nutty, smokey , sweet",,yes ,Ardsallagh Goats Farm
Ardsallagh Soft Goat's Cheese,,,Carrigtwohill,,,,,natural,white,,,yes ,Ardsallagh Goats Farm
Armenian String Cheese,"unpasteurized cow's, goat's or sheep's milk",Armenia and Syria,Middle East,semi-soft,,,"creamy, smooth and springy",,white,"buttery, nutty, sharp",nutty, no ,
Aromes au Gene de Marc,unpasteurized cow's and goat's milk,France,Rhône-Alpes ,"semi-soft, artisan",,25%,creamy and flaky,natural,white,strong,"fermented, pungent", no ,
Ascutney Mountain,unpasteurized cow's milk,United States,Vermont,"hard, artisan",Swiss Cheese,,chewy and dense,natural,,"mild, nutty, sweet","herbal, sweet",yes ,Cobb Hill Farm
Asher Blue,unpasteurized cow's milk,United States,Georgia,"semi-soft, blue-veined",Blue,,creamy and crumbly,natural,straw,"grassy, milky, mushroomy, salty, sweet, tangy","earthy, rich, strong",yes ,Sweet Grass Dairy
Ashley,whole cow's milk,United States,Colorado,"soft, artisan, soft-ripened",,12%,soft,ash coated,cream,"sweet, tart",,,MouCo Cheese Company
Asiago d'Allevo DOP,unpasteurized cow's milk,Italy,Veneto,hard,,34%,compact,natural,pale yellow,savory,"pleasant, yeasty", no ,
Asiago DOP,cow's milk,Italy,"Veneto, Trentino",hard,,34-48%,"compact, crumbly, open and smooth",natural,yellow,"full-flavored, mild, milky, sharp",pungent, no ,
Asiago Pressato DOP,pasteurized cow's milk,Italy,Veneto,semi-soft,,48%,creamy and smooth,natural,white,"sweet, tangy",fresh, no ,
Aspen Ash,pasteurized goat's milk,United States,Colorado,"soft, soft-ripened",,,creamy,ash coated,white,"acidic, creamy",earthy,yes ,Haystack Mountain Goat Dairy
Assa,pasteurized goat's milk,United States,"Tomales, California",,,,,natural,,,,,Tomales Farmstead Creamery
Aubisque Pyrenees,cow's and sheep's milk,France,Béarnaise in Pyrénées-Atlantique,semi-hard,,,smooth,natural,,"mild, smooth",, no ,
Aura,pasteurized cow's milk,Finland,Äänekoski,"semi-soft, blue-veined",Blue,,creamy,mold ripened ,pale yellow,"salty, sharp, strong, tangy",, no ,Valio
Austrian Alps cheese,pasteurized cow's milk,Switzerland,,,,,smooth,,,"nutty, spicy","aromatic, nutty, spicy", no ,
Autun,unpasteurized cow's and goat's milk,France,Burgundy,"fresh soft, artisan",,40-45%,creamy,rindless,white,acidic,, no ,
Avaxtskyr,cow's milk,Iceland,,soft,,10%,,,,,,yes ,
Avonlea Clothbound Cheddar,unpasteurized cow's milk,Canada,Prince Edward Island,"hard, artisan",Cheddar,32%,"creamy, crumbly and firm",cloth wrapped,straw,"fruity, mushroomy, savory",,yes ,COWS Inc.
Azeitao,unpasteurized sheep's milk,Portugal,"Setubal, Palmela and Sesimbra","semi-soft, artisan",,,creamy and supple,washed,pale yellow,"buttery, herbaceous, milky, salty, sour, strong",,yes ,
Babybel,pasteurized cow's milk,France,,semi-hard,,69%,smooth,waxed,white,"salty, sweet",, no ,
Baby Brie,pasteurized cow's milk,France,,soft,Brie,,creamy,bloomy,cream,"creamy, mild",aromatic, no ,
Baby Swiss,pasteurized or unpasteurized cow's milk,United States,"Charm, Ohio","semi-soft, processed",Swiss Cheese,43%,"creamy, open and smooth",rindless,pale yellow,"nutty, sharp, sweet",, no ,Guggisberg Cheese
Bad Axe,pasteurized sheep's milk,United States,Wisconsin,"semi-hard, artisan",,,"creamy, firm and smooth",waxed,white,"creamy, smooth, tart",fresh,yes ,Hidden Springs Company
Baguette Laonnaise,pasteurized cow's milk,France,Ile-de-France/Champagne,"soft, artisan",,28.5%,open and supple,washed,pale yellow,spicy,pungent, no ,
Baita Friuli,unpasteurized cow's milk,Italy,Friuli-Venezia Giulia,firm,,,compact,natural,pale yellow,"fruity, spicy",rich, no ,
Baladi,"unpasteurized cow's, goat's and sheep's milk",Lebanon and Middle East,,"fresh soft, artisan",,22%,"creamy, dense and smooth",rindless,white,"buttery, mild, salty, sweet",fresh, no ,
Balaton,cow's milk,Hungary,,semi-hard,,,,natural,yellow,"acidic, mild",, no ,
Balfour,sheep's milk,New Zealand,Queenstown ,hard,,,"crumbly, flaky and grainy",natural,,"nutty, sweet",, no ,The Gibbston Valley Cheese Company
Baluchon,cow's milk,Canada,Quebec,semi-soft,,28%,creamy,washed,ivory,"acidic, creamy, earthy, salty","earthy, mild", no ,Fromageries Jonathan
Bandal,cow's milk,India,West Bengal,"semi-soft, artisan",Cottage,,crumbly,rindless,,"salty, smokey , strong",strong,yes ,
Banon,unpasteurized goat's milk,France,Banon,"soft, artisan",,45%,"creamy, smooth and sticky",leaf wrapped,white,"fruity, strong, woody",strong, no ,"Fromagerie de Banon, Fromagerie de Montéglin, Les Capitelles"
Barambah Organics Marinated Feta,pasteurized cow's milk,Australia,Brisbane,fresh soft,Feta,25.22 g/100g,"creamy, crumbly and springy",rindless,white,"herbaceous, mild, milky","herbal, mild, milky",yes ,Barambah Organics Pty Ltd.
Barberey,cow's milk,France,"Troyes , Aube",soft,,20-30%,dry and soft,natural,,"pungent, woody",mild, no ,
Barber's 1833,pasteurized cow's milk,England,Somerset,"hard, artisan",Cheddar,,"creamy, crumbly and smooth",rindless,ivory,"savory, sweet",rich,yes ,AJ & RE Barber Ltd
Barden Blue,unpasteurized cow's milk,United States,"West Pawlet, VT","semi-hard, artisan, blue-veined",Blue,,"buttery, dense and open",natural,yellow,"mild, nutty, spicy, tangy","barnyardy, herbal", no ,Consider Bardwell Farm
Barely Buzzed,pasteurized cow's milk,United States,Utah,"hard, artisan",Cheddar,,creamy and smooth,natural,pale yellow,"butterscotch, caramel","aromatic, rich",yes ,Beehive Cheese Company
Barilotto ,pasteurized buffalo's milk,Italy,Campania,"hard, soft-ripened",Brie,,firm,washed,pale yellow,"creamy, sharp","buttery, fresh", no ,Casa Madaio
Baron Bigod,unpasteurized cow's milk,"England, Great Britain and United Kingdom","Bungay, Suffolk","soft, artisan",Brie,,"creamy, smooth, soft and soft-ripened",,yellow,"creamy, earthy, mushroomy","barnyardy, mushroom", no ,Fen Farm Dairy
Baronerosso di Capra,unpasteurized goat's milk,Italy,Veneto,semi-hard,,,crumbly and firm,washed,white,"full-flavored, sharp","fruity, musty", no ,La Casearia Carpenedo S.r.l.
Barrel Aged Feta,pasteurized goat's and sheep's milk,Greece,Mt. Vikos,"soft, artisan",Feta,11%,creamy and crumbly,,white,creamy,rich, no ,Mt. Vikos
Barricato al Pepe,pasteurized cow's milk,Italy,Veneto,"firm, artisan",,,crumbly,natural,ivory,"buttery, spicy",spicy,,
Barry's Bay Cheddar,cow's milk,New Zealand,Banks Peninsular in Canterbury,"hard, artisan",Cheddar,,creamy,cloth wrapped,,,, no ,Barry's Bay
Bartlett,unpasteurized sheep's milk,"England, Great Britain and United Kingdom",Somerset,"soft, artisan",,,dense and smooth,mold ripened ,white,"buttery, milky","aromatic, strong",yes ,
Basajo,unpasteurized sheep's milk,Italy,Veneto,"semi-soft, blue-veined",Blue,,creamy,natural,cream,"sharp, sweet, tangy","pronounced, rich", no ,La Casearia Carpenedo S.r.l.
Baserri,sheep's milk,United States,,"semi-hard, artisan",Tomme,,creamy and crumbly,,,"milky, tangy","milky, nutty",,"Barinaga Ranch, Inc."
Basils Original Rauchkase,pasteurized cow's milk,Germany,,semi-soft,,25.5%,"compact, dense and soft",natural,pale yellow,"salty, smokey , spicy",smokey, no ,Bergader Privatkäserei GmbH
Basing,unpasteurized goat's milk,United Kingdom,Kent,hard,,,crumbly,,,"herbaceous, smooth",,yes ,
Baskeriu,pasteurized sheep's milk,France,"French Basque Country, Midi-Pyrénées",semi-soft,,50%,dry and smooth,,,"buttery, nutty","buttery, nutty, rich",yes ,
Basket Cheese,pasteurized cow's milk,Middle East,,"soft, semi-soft",Cottage,,chewy and supple,rindless,white,"mild, salty",milky,yes ,"Specialty Cheese Company, Inc"
Basket Molded Ricotta,pasteurized cow's milk,United States,Maine,"fresh firm, whey",Cottage,,crumbly and firm,natural,white,sweet,fresh,yes ,Lakin's Gorges Cheese LLC
Bassigny au porto,unpasteurized cow's milk,Belgium,,semi-soft,,45%,,washed,yellow,"acidic, buttery",aromatic, no ,
Bath Blue,pasteurized cow's milk,"England, Great Britain and United Kingdom",Bath,"soft, artisan, blue-veined",Blue,,creamy and smooth,natural,cream,"creamy, strong",clean, no ,Bath Soft Cheese Ltd 
Bath Cheese,pasteurized cow's milk,England and United Kingdom,"Somerset, Bath",soft,Brie,,creamy,bloomy,ivory,"citrusy, lemony, mushroomy","aromatic, earthy, fresh, grassy",yes ,Bath Soft Cheese Ltd 
Batzos,pasteurized goat's or sheep's milk,Greece,"Central and Western Macedonia, Thessaly",semi-hard,,20%,dry,,white,"piquant, salty, sour, spicy",pleasant, no ,
Bavaria blu,pasteurized cow's milk,Germany,,"soft, blue-veined",Blue,43.3 g/100g,creamy and soft,mold ripened ,cream,"creamy, sharp, strong","aromatic, rich", no ,Bergader Privatkäserei GmbH
Bavarian Bergkase,unpasteurized cow's milk,Germany,Allgaeu Alps,"hard, artisan",,62%,"crumbly, firm and open",natural,pale yellow,"full-flavored, nutty, spicy","aromatic, rich", no ,
Bayley Hazen Blue,unpasteurized cow's milk,United States,"Greensboro, VT","semi-hard, artisan, blue-veined",Blue,,"creamy, dense and firm",natural,cream,"buttery, grassy, licorice, nutty, tangy","grassy, spicy, strong", no ,Jasper Hill Farm
Baylough,unpasteurized cow's milk,Ireland,Co. Tipperary,"hard, artisan",Cheddar,,close and firm,waxed,yellow,"herbaceous, mild, smokey ","herbal, mild",yes ,BAY LOUGH CHEESE
Beach Box Brie,cow's milk,Australia,"Mornington Peninsula, Melbourne",artisan,Brie,,creamy,ash coated,golden yellow,creamy,rich,yes ,BoatShed Cheese
Bear Hill,unpasteurized sheep's milk,United States,Vermont,"semi-hard, smear-ripened",,,smooth,washed,pale yellow,"fruity, mild, milky, nutty, sweet",,,Grafton Village Cheese Company
Beaufort,unpasteurized cow's milk,France,"Savoie, French Alps",firm,Gruyere,34%,creamy and smooth,,pale yellow,strong,"aromatic, pungent", no ,Entremont
Beaumont,unpasteurized cow's milk,France, Rhône-Alpes,semi-soft,,50%,creamy and smooth,washed,pale yellow,,"barnyardy, earthy, rich", no ,
Beauvoorde,cow's milk,Belgium,Flanders,semi-hard,,,creamy and firm,natural,yellow,mild,spicy,,
Beecher's Flagship,pasteurized cow's milk,United States,"Seattle, Washington","semi-hard, artisan",Cheddar,,creamy and crumbly,cloth wrapped,yellow,"creamy, full-flavored, nutty",,yes ,Beecher's
Beehive Fresh,pasteurized cow's milk,United States,Utah,"fresh soft, artisan",Mozzarella,,buttery and soft,,pale yellow,"buttery, mild","buttery, fresh, mild",yes ,Beehive Cheese Company
Beemster 2% Milk,pasteurized cow's milk,"Canada, Denmark, France, Germany, Netherlands and United States",,semi-soft,,5 g/100g,smooth,,,nutty,"aromatic, floral, fruity", no ,"Beemster Cheese, CONO Kaasmakers / Beemster"
Beemster Aged,pasteurized cow's milk,Netherlands,,hard,Gouda,,"crystalline, firm and smooth",natural,yellow,"full-flavored, smooth, spicy, strong",rich, no ,CONO Kaasmakers / Beemster
Beemster Classic,pasteurized cow's milk,Netherlands,,semi-hard,Gouda,,"creamy, firm and smooth",natural,yellow,"burnt caramel, salty, sharp, sweet","rich, strong", no ,"Beemster Cheese, CONO Kaasmakers / Beemster"
Beemster Extra Aged (XO),pasteurized cow's milk,Netherlands,,hard,Gouda,,"brittle, crumbly and grainy",natural,golden yellow,"butterscotch, nutty",aromatic, no ,"Beemster Cheese, CONO Kaasmakers / Beemster"
Beemster Graskaas,pasteurized cow's milk,Netherlands,,semi-hard,Gouda,,"creamy, open and smooth",natural,yellow,full-flavored,rich, no ,"Beemster Cheese, CONO Kaasmakers / Beemster"
Beenleigh Blue,pasteurized sheep's milk,England and United Kingdom,Devon,"soft, blue-veined",Blue,45-50%,"crumbly, dense and smooth",natural,ivory,"burnt caramel, salty, spicy",nutty,yes ,Ticklemore Cheese Dairy
Bega Processed Cheddar,pasteurized cow's milk,Australia,,soft,Cheddar,,creamy and smooth,,yellow,creamy,,,Bega Cheese Limited
Bel Ceillo,cow's milk,United States,NY,"semi-hard, artisan",Parmesan,,creamy and crumbly,natural,pale yellow,sharp,pungent,,Muranda Cheese Company
